Estado civil,Modo de aplicacion,Orden de aplicacion,Carrera,Jornada,Nivel educativo previo,Nota educacion previa,Nacionalidad,Educacion madre,Educacion padre,Ocupacion madre,Ocupacion padre,Nota de admisión,Desplazado,Necesidades educativas especiales,Deudor,Pago de matricula al dia,Genero,Becado,Edad de ingreso,Internacional,Creditos homologados 1er semestre,Materias inscritas 1er semestre,Evaluaciones 1er semestre,Materias aprobadas 1er semestre,Promedio 1er semestre,Materias sin evaluacion 1er semestre,Creditos homologados 2do semestre,Materias inscritas 2do semestre,Evaluaciones 2do semestre,Materias aprobadas 2do semestre,Promedio 2do semestre,Materias sin evaluación 2do semestre,Tasa de desempleo,Tasa de inflacion,PIB,Resultado
Soltero,1ra fase general,3,Multimedia,Diurna,Secundaria,122,Portugués,Secundaria completa,Secundaria completa,No calificado,Operador maquinaria,120.3,No,No,No,Sí,Mujer,Sí,21,No,0,0,0,0,0,0,0,0,0,0,0,0,11.1,0.6,2.02,Graduate
Soltero,3ra fase,4,Higiene oral,Diurna,Secundaria,127,Portugués,Secundaria completa,Básica ciclo 2,Administrativo,Obrero calificado,121.8,Sí,No,No,Sí,Mujer,No,20,No,0,7,14,7,11.4375,0,0,8,9,8,11.425,0,12.7,3.7,-1.7,Enrolled
Soltero,1ra fase general,4,Enfermería,Diurna,Secundaria,142,Portugués,Básica ciclo 3,Básica ciclo 3,Directivo,Directivo,125.5,Sí,No,No,Sí,Mujer,No,18,No,0,8,12,7,12.85714286,0,0,8,12,7,12.85714286,0,12.7,3.7,-1.7,Graduate
Soltero,1ra fase general,4,Marketing,Diurna,Secundaria,125,Portugués,Secundaria completa,Básica ciclo 2,Administrativo,Obrero calificado,114.9,Sí,No,No,Sí,Mujer,Sí,19,No,0,6,8,6,13.375,0,0,6,7,6,12.28571429,0,11.1,0.6,2.02,Graduate
Soltero,1ra fase general,1,Enfermería,Diurna,Secundaria,126,Portugués,Básica ciclo 3,Básica ciclo 3,Técnico,Obrero calificado,123.9,No,No,No,Sí,Mujer,No,19,No,0,7,8,6,13.29666667,0,0,8,9,7,14.11428571,0,11.1,0.6,2.02,Graduate
Soltero,1ra fase general,1,Trabajo social,Diurna,Secundaria,151,Portugués,Básica ciclo 3,Básica ciclo 2,No calificado,No calificado,157,Sí,No,Sí,Sí,Mujer,Sí,18,No,0,6,8,5,11.6,0,0,6,12,4,11,0,7.6,2.6,0.32,Enrolled
Soltero,2da fase,2,Trabajo social,Diurna,Secundaria,115,Portugués,Básica ciclo 3,Básica ciclo 2,Obrero calificado,Operador maquinaria,116.4,Sí,No,No,Sí,Mujer,No,21,No,0,6,9,6,11.375,0,0,6,9,6,13.28571429,0,16.2,0.3,-0.92,Graduate
Soltero,1ra fase general,1,Veterinaria,Diurna,Secundaria,138,Portugués,Básica ciclo 3,Básica ciclo 3,Técnico,Técnico,131,Sí,No,No,Sí,Mujer,No,18,No,0,5,9,5,12.66666667,2,0,5,7,4,13,0,9.4,-0.8,-3.12,Enrolled
Soltero,1ra fase general,1,Administración,Diurna,Secundaria,135,Portugués,Básica ciclo 3,Secundaria completa,No calificado,No calificado,122.1,Sí,No,No,Sí,Mujer,No,20,No,0,5,6,5,12,0,0,5,6,5,12.33333333,0,16.2,0.3,-0.92,Graduate
Soltero,2da fase,2,Enfermería,Diurna,Secundaria,127,Portugués,Grado,Grado,Directivo,Fuerzas armadas,118.8,Sí,No,No,Sí,Hombre,No,19,No,0,7,9,6,12.93333333,0,0,7,7,6,13.71666667,0,16.2,0.3,-0.92,Enrolled
Soltero,Especialización tecnológica,1,Agronomía,Diurna,Especialización tecnológica,150,Portugués,Maestría,Doctorado,Administrativo,Profesional,150,No,No,No,Sí,Hombre,No,21,No,0,6,15,5,11.85714286,0,0,6,17,5,10.57142857,0,16.2,0.3,-0.92,Enrolled
Soltero,Cambio institución,1,Diseño comunicación,Diurna,Secundaria,125,Portugués,Técnico superior,Grado,125,124,130,Sí,No,No,Sí,Hombre,No,20,No,2,6,7,6,12.83333333,0,0,6,9,4,13.4,0,8.9,1.4,3.51,Graduate
Soltero,1ra fase general,1,Administración,Diurna,Secundaria,143,Portugués,Secundaria completa,Secundaria completa,Administrativo,Agricultura,138.8,No,No,No,No,Hombre,No,18,No,0,5,9,3,11.33333333,0,0,5,8,2,13.5,0,8.9,1.4,3.51,Enrolled
Soltero,3ra fase,1,Trabajo social (noche),Nocturna,Secundaria,138,Portugués,Básica ciclo 3,Secundaria completa,No calificado,Servicios,134.5,Sí,No,No,Sí,Mujer,No,19,No,0,6,6,6,12.66666667,0,0,6,8,6,14.375,0,12.4,0.5,1.79,Graduate
Soltero,1ra fase general,1,Administración (noche),Nocturna,Secundaria,130,Portugués,Pregrado,Primaria,Técnico,No calificado,131.4,No,No,No,Sí,Hombre,No,34,No,0,5,6,5,12.4,0,0,5,9,5,13.42857143,0,13.9,-0.3,0.79,Graduate
Soltero,Mayor de 23,1,Biocombustibles,Diurna,Secundaria,130,Portugués,Básica ciclo 2,Primaria,No calificado,Agricultura,102.5,No,No,Sí,No,Hombre,No,37,No,0,7,7,0,0,0,0,7,7,1,10,0,8.9,1.4,3.51,Dropout
Soltero,Mayor de 23,1,Ing. Informática,Diurna,Grado 11 incompleto,133.1,Portugués,Desconocido,Primaria,Estudiante,Estudiante,128.8,Sí,No,No,Sí,Hombre,No,43,No,0,5,0,0,0,0,0,5,0,0,0,0,7.6,2.6,0.32,Dropout
Soltero,Cambio carrera,1,Administración,Diurna,Secundaria,140,Portugués,Primaria,Primaria,Agricultura,Agricultura,122.9,No,No,No,Sí,Mujer,No,55,No,0,5,10,1,10,0,0,5,8,2,12,2,16.2,0.3,-0.92,Dropout
Divorciado,Mayor de 23,1,Administración (noche),Nocturna,Secundaria,120,Portugués,Básica ciclo 3,Básica ciclo 3,No calificado,Técnico,113.9,Sí,No,No,Sí,Mujer,No,39,No,0,5,8,5,11,0,0,5,5,5,11.6,0,7.6,2.6,0.32,Graduate
Soltero,Especialización tecnológica,1,Equinocultura,Diurna,Especialización tecnológica,120,Español,Maestría,Maestría,Técnico,Agricultura,120,No,No,Sí,No,Mujer,No,20,Sí,2,6,13,3,11.66666667,0,1,6,11,3,12,0,12.4,0.5,1.79,Dropout
Soltero,1ra fase general,5,Periodismo,Diurna,Secundaria,126,Portugués,Grado,Grado,Profesional,Profesional,121.1,No,No,Sí,Sí,Mujer,No,18,No,0,6,6,4,12.75,0,0,5,5,0,0,0,12.7,3.7,-1.7,Dropout
Soltero,1ra fase general,2,Administración,Diurna,Secundaria,133,Portugués,Grado,Básica ciclo 3,Profesional,Obrero calificado,120.4,Sí,No,No,Sí,Mujer,No,22,No,0,5,5,5,14.8,0,0,5,5,5,15.8,0,8.9,1.4,3.51,Graduate
Soltero,1ra fase general,6,Enfermería,Diurna,Secundaria,103,Portugués,Secundaria completa,Grado,Profesional,Profesional,100.6,Sí,Sí,No,Sí,Mujer,No,22,No,0,7,9,5,13.928,0,0,8,9,7,14.34285714,0,11.1,0.6,2.02,Graduate
Soltero,2da fase,1,Periodismo,Diurna,Secundaria,120,Portugués,Secundaria completa,Básica ciclo 2,Servicios,Servicios,121.4,No,No,No,No,Mujer,No,20,No,0,6,7,4,13,0,0,6,7,5,13.8,0,12.4,0.5,1.79,Dropout
Soltero,Mayor de 23,1,Administración (noche),Nocturna,Secundaria,133.1,Portugués,Primaria,Primaria,No calificado,No calificado,109.7,No,No,No,Sí,Mujer,No,29,No,0,5,0,0,0,0,0,5,0,0,0,0,16.2,0.3,-0.92,Dropout
Soltero,2da fase,1,Administración (noche),Nocturna,Secundaria,154,Portugués,Básica ciclo 2,Básica ciclo 2,Administrativo,Servicios,134.1,No,No,No,Sí,Mujer,No,24,No,0,5,9,2,11.5,0,0,5,11,3,14.33333333,1,7.6,2.6,0.32,Enrolled
Soltero,2da fase,2,Trabajo social,Diurna,Secundaria,130,Portugués,Básica ciclo 3,Básica ciclo 3,No calificado,No calificado,127.6,Sí,No,No,Sí,Mujer,No,18,No,0,6,6,6,11.66666667,0,0,6,8,5,13.2,0,11.1,0.6,2.02,Graduate
Soltero,2da fase,6,Enfermería,Diurna,Secundaria,132,Portugués,Primaria,Básica ciclo 3,Obrero calificado,Obrero calificado,132.4,Sí,No,No,Sí,Mujer,Sí,22,No,0,7,8,6,13.51666667,0,0,8,9,7,13.77142857,0,11.1,0.6,2.02,Graduate
Soltero,Especialización tecnológica,1,Trabajo social (noche),Nocturna,Especialización tecnológica,130,Portugués,Secundaria completa,Básica ciclo 3,No calificado,No calificado,133.4,No,No,No,Sí,Mujer,Sí,21,No,3,6,6,6,11.5,0,2,6,7,6,13.28571429,0,12.4,0.5,1.79,Graduate
Soltero,1ra fase general,1,Trabajo social,Diurna,Secundaria,139,Portugués,Primaria,Básica ciclo 2,No calificado,No calificado,126.1,No,No,No,Sí,Mujer,Sí,19,No,0,6,7,5,12.33333333,0,0,6,7,6,12.83333333,0,12.7,3.7,-1.7,Graduate
Soltero,Mayor de 23,1,Turismo,Diurna,Secundaria,130,Portugués,Básica ciclo 3,Básica ciclo 2,No calificado,Obrero calificado,113.5,No,No,No,Sí,Mujer,Sí,24,No,0,6,6,6,13.66666667,0,0,6,6,6,14.16666667,0,12.4,0.5,1.79,Graduate
Soltero,1ra fase general,1,Enfermería,Diurna,Secundaria,139,Portugués,Primaria,Básica ciclo 2,Agricultura,Agricultura,121.3,Sí,No,No,Sí,Mujer,Sí,19,No,0,8,10,6,11.83333333,0,0,8,10,6,11.83333333,0,9.4,-0.8,-3.12,Enrolled
Soltero,1ra fase general,1,Periodismo,Diurna,Secundaria,127,Portugués,Secundaria completa,Básica ciclo 3,Obrero calificado,Obrero calificado,121.8,Sí,No,No,Sí,Mujer,Sí,20,No,0,6,11,4,14,0,0,6,12,3,11,0,9.4,-0.8,-3.12,Enrolled
Soltero,1ra fase general,3,Equinocultura,Diurna,Secundaria,167,Portugués,Primaria,Primaria,Otro,Otro,159.3,No,No,No,Sí,Mujer,No,19,No,0,5,7,5,14.71428571,0,0,5,5,5,15.8,0,7.6,2.6,0.32,Graduate
Soltero,Mayor de 23,1,Administración (noche),Nocturna,Secundaria,130,Portugués,Básica ciclo 2,Básica ciclo 2,No calificado,No calificado,120,No,No,No,Sí,Mujer,No,27,No,0,5,12,5,10.6,0,0,5,10,5,11,0,9.4,-0.8,-3.12,Dropout
Soltero,1ra fase general,1,Enfermería,Diurna,Secundaria,130,Portugués,Secundaria completa,Básica ciclo 3,Servicios,Servicios,129.1,Sí,No,No,Sí,Mujer,No,18,No,0,7,9,7,13.04444444,0,0,8,10,8,13.595,0,15.5,2.8,-4.06,Graduate
Casado,Otra carrera,1,Turismo,Diurna,Grado,130,Portugués,Secundaria completa,Grado,Administrativo,Técnico,130,No,No,No,Sí,Mujer,No,39,No,0,6,10,0,0,0,0,6,6,0,0,0,12.4,0.5,1.79,Dropout
Soltero,Mayor de 23,1,Equinocultura,Diurna,Profesional,129,Portugués,Grado,Grado,Profesional,Profesional,155.3,Sí,No,No,Sí,Mujer,No,27,No,0,6,9,5,13,0,5,11,13,10,12.9,0,12.4,0.5,1.79,Dropout
Soltero,2da fase,1,Enfermería,Diurna,Secundaria,141,Portugués,Básica ciclo 2,Básica ciclo 2,Obrero calificado,Fuerzas armadas,139.8,Sí,No,No,Sí,Mujer,No,18,No,0,8,8,8,14.935,0,0,8,8,8,14.935,0,9.4,-0.8,-3.12,Graduate
Soltero,1ra fase general,3,Multimedia,Diurna,Secundaria,125,Portugués,Básica ciclo 2,Primaria,Administrativo,No calificado,115.2,Sí,No,No,Sí,Mujer,No,18,No,0,0,0,0,0,0,0,0,0,0,0,0,7.6,2.6,0.32,Enrolled
Soltero,1ra fase general,2,Enfermería,Diurna,Secundaria,125,Portugués,Básica ciclo 3,Básica ciclo 3,No calificado,No calificado,114.9,No,No,No,Sí,Mujer,No,18,No,0,7,8,6,13.13333333,0,0,8,12,7,12.22142857,0,16.2,0.3,-0.92,Graduate
Soltero,Especialización tecnológica,1,Trabajo social,Diurna,Especialización tecnológica,130,Portugués,Básica ciclo 3,Secundaria completa,No calificado,No calificado,131.9,No,No,No,Sí,Mujer,Sí,21,No,3,6,7,6,12,0,2,6,7,6,12,0,13.9,-0.3,0.79,Graduate
Soltero,2da fase,3,Multimedia,Diurna,Secundaria,133,Portugués,Secundaria completa,Primaria,Administrativo,Obrero calificado,126,Sí,No,No,Sí,Hombre,Sí,19,No,0,0,0,0,0,0,0,0,0,0,0,0,10.8,1.4,1.74,Enrolled
Soltero,2da fase,1,Diseño comunicación,Diurna,Secundaria,127,Portugués,Secundaria completa,Secundaria completa,Técnico,Administrativo,130.2,Sí,No,No,Sí,Hombre,No,19,No,0,6,6,5,11.4,0,0,6,8,1,10,0,10.8,1.4,1.74,Enrolled
Soltero,Cambio carrera,1,Diseño comunicación,Diurna,Secundaria,116,Portugués,Secundaria completa,Secundaria completa,Técnico,Técnico,120.9,No,No,No,Sí,Hombre,No,24,No,0,6,6,0,0,0,0,6,6,0,0,0,12.7,3.7,-1.7,Enrolled
Divorciado,Transferencia,1,Enfermería,Diurna,Educación básica,133.1,Portugués,Secundaria completa,Secundaria completa,Servicios,Servicios,126,Sí,No,No,Sí,Hombre,No,29,No,2,7,10,5,11.9,0,1,8,10,5,11,0,13.9,-0.3,0.79,Dropout
Soltero,1ra fase general,3,Multimedia,Diurna,Secundaria,139,Portugués,Básica ciclo 3,Básica ciclo 3,Servicios,Técnico,128.2,Sí,No,No,Sí,Hombre,Sí,19,No,0,0,0,0,0,0,0,0,0,0,0,0,10.8,1.4,1.74,Graduate
Soltero,Especialización tecnológica,1,Agronomía,Diurna,Especialización tecnológica,130,Portugués,Básica ciclo 3,Primaria,No calificado,No calificado,130,Sí,No,No,Sí,Hombre,No,23,No,0,6,8,6,12.57142857,0,0,6,7,6,12.42857143,0,8.9,1.4,3.51,Graduate
Soltero,1ra fase general,3,Administración,Diurna,Secundaria,125,Portugués,Secundaria completa,Básica ciclo 2,Obrero calificado,Obrero calificado,120.1,No,No,Sí,Sí,Hombre,No,19,No,0,5,8,5,11.2,0,0,5,10,4,10.75,3,16.2,0.3,-0.92,Dropout
Soltero,Mayor de 23,1,Turismo,Diurna,Secundaria,160,Portugués,Básica ciclo 3,Primaria,Obrero calificado,Fuerzas armadas,100,No,No,No,Sí,Hombre,No,26,No,0,6,7,6,12,0,0,6,8,5,10.8,0,12.7,3.7,-1.7,Enrolled
Soltero,2da fase,1,Administración,Diurna,Secundaria,148,Portugués,Básica ciclo 2,Primaria,Servicios,Servicios,134,No,No,No,Sí,Hombre,No,18,No,0,5,9,0,0,0,0,5,5,0,0,0,7.6,2.6,0.32,Enrolled
Soltero,2da fase,1,Enfermería,Diurna,Secundaria,150,Portugués,Primaria,Básica ciclo 3,Operador maquinaria,Administrativo,130.8,No,No,No,Sí,Hombre,No,24,No,0,7,8,7,11.975,0,0,8,8,8,13.75,0,13.9,-0.3,0.79,Graduate
Soltero,1ra fase general,1,Multimedia,Diurna,Secundaria,141,Portugués,Básica ciclo 3,Básica ciclo 3,Servicios,Fuerzas armadas,135.8,Sí,No,No,Sí,Hombre,No,19,No,0,0,0,0,0,0,0,0,0,0,0,0,15.5,2.8,-4.06,Dropout
Soltero,2da fase,4,Turismo,Diurna,Secundaria,118,Portugués,Básica ciclo 2,Primaria,Servicios,Obrero calificado,111.7,Sí,No,No,Sí,Hombre,No,18,No,0,6,12,3,11.66666667,0,0,6,12,1,12,0,12.4,0.5,1.79,Dropout
Soltero,1ra fase general,2,Periodismo,Diurna,Secundaria,142,Portugués,Básica ciclo 2,Básica ciclo 2,No calificado,No calificado,132.9,Sí,No,No,Sí,Hombre,No,18,No,0,6,8,6,12.33333333,0,0,6,11,3,12.33333333,0,10.8,1.4,1.74,Graduate
Soltero,2da fase,3,Administración,Diurna,Secundaria,120,Portugués,Básica ciclo 3,Básica ciclo 3,Administrativo,Obrero calificado,115.5,Sí,No,Sí,Sí,Hombre,No,18,No,0,5,8,3,10.33333333,0,0,5,11,3,10.85714286,0,10.8,1.4,1.74,Dropout
Soltero,3ra fase,4,Turismo,Diurna,Secundaria,106,Portugués,Básica ciclo 3,Primaria,Obrero calificado,Obrero calificado,106,Sí,No,No,Sí,Hombre,Sí,21,No,0,6,8,4,10.5,0,0,6,11,1,11,0,9.4,-0.8,-3.12,Dropout
Soltero,2da fase,4,Periodismo,Diurna,Secundaria,121,Portugués,Secundaria completa,Básica ciclo 3,No calificado,Operador maquinaria,120.3,Sí,No,Sí,Sí,Hombre,Sí,19,No,0,6,6,6,13.66666667,0,0,6,6,6,13.33333333,0,8.9,1.4,3.51,Graduate
Soltero,2da fase,4,Enfermería,Diurna,Secundaria,150,Portugués,Básica ciclo 2,Primaria,No calificado,No calificado,130.8,No,No,No,Sí,Hombre,Sí,22,No,0,7,7,7,14.84285714,0,0,8,9,8,15.05555556,0,16.2,0.3,-0.92,Graduate
Casado,Mayor de 23,1,Trabajo social (noche),Nocturna,Secundaria,120,Portugués,Primaria,Primaria,No calificado,Agricultura,117,No,No,No,Sí,Hombre,No,33,No,0,6,8,6,12,0,0,6,6,6,11.66666667,0,10.8,1.4,1.74,Graduate
Soltero,1ra fase general,6,Educación básica,Diurna,Secundaria,114,Portugués,Básica ciclo 3,Básica ciclo 3,No calificado,No calificado,110.2,Sí,No,No,Sí,Hombre,No,20,No,0,6,8,5,12.2,0,0,6,7,5,12.2,0,10.8,1.4,1.74,Dropout
Soltero,Mayor de 23,1,Administración (noche),Nocturna,Pregrado,140,Portugués,Grado,Grado,Profesional,Profesional,155.7,Sí,No,No,Sí,Hombre,No,35,No,0,1,1,0,0,1,0,5,0,0,0,0,10.8,1.4,1.74,Dropout
Soltero,Mayor de 23,1,Agronomía,Diurna,Maestría,160,Portugués,Grado,Grado,Administrativo,Profesional,180.4,No,No,Sí,Sí,Hombre,No,24,No,6,12,17,6,12.16666667,0,7,12,14,10,13.3,0,12.4,0.5,1.79,Dropout
Soltero,2da fase,1,Turismo,Diurna,Secundaria,120,Portugués,Básica ciclo 3,Básica ciclo 3,Administrativo,Administrativo,125.5,No,No,No,Sí,Hombre,No,18,No,0,5,6,5,12,0,0,5,8,3,11.33333333,0,12.7,3.7,-1.7,Enrolled
Casado,Mayor de 23,1,Trabajo social (noche),Nocturna,Secundaria,130,Portugués,Primaria,Primaria,No calificado,Agricultura,110,Sí,No,No,Sí,Mujer,No,33,No,0,6,7,6,11,0,0,6,11,5,11,0,9.4,-0.8,-3.12,Graduate
Soltero,Transferencia,1,Enfermería,Diurna,Secundaria,160,Portugués,Primaria,Básica ciclo 2,No calificado,Obrero calificado,161,Sí,No,No,Sí,Mujer,Sí,22,No,0,8,8,7,13.08,0,0,8,8,7,13.08,0,10.8,1.4,1.74,Graduate
Soltero,Mayor de 23,1,Marketing,Diurna,Secundaria,120,Portugués,Secundaria completa,Básica ciclo 3,Administrativo,Servicios,100,No,No,No,Sí,Mujer,Sí,25,No,0,5,7,4,10.5,0,0,5,7,5,11.6,0,9.4,-0.8,-3.12,Graduate
Soltero,2da fase,1,Diseño comunicación,Diurna,Secundaria,124,Portugués,Básica ciclo 3,Básica ciclo 2,Administrativo,Estudiante,117.6,Sí,No,No,Sí,Hombre,No,20,No,0,6,9,6,10.66666667,1,0,6,6,5,11.2,0,7.6,2.6,0.32,Graduate
Soltero,1ra fase general,6,Administración,Diurna,Secundaria,143,Portugués,Básica ciclo 2,Primaria,No calificado,No calificado,128.7,Sí,No,No,Sí,Hombre,No,23,No,0,5,6,4,14,0,0,5,5,5,13.8,0,11.1,0.6,2.02,Enrolled
Soltero,Cambio carrera,2,Ing. Informática,Diurna,Secundaria,115,Portugués,Básica ciclo 2,Básica ciclo 3,No calificado,Agricultura,112.2,Sí,No,Sí,Sí,Hombre,No,18,No,0,5,9,2,10,0,0,5,9,0,0,0,15.5,2.8,-4.06,Enrolled
Soltero,Mayor de 23,1,Enfermería,Diurna,Secundaria,133.1,Portugués,Secundaria completa,Secundaria completa,Administrativo,Fuerzas armadas,100.8,No,No,No,Sí,Hombre,No,24,No,0,7,18,0,0,0,0,7,7,0,0,0,13.9,-0.3,0.79,Dropout
Soltero,2da fase,2,Periodismo,Diurna,Secundaria,133.1,Brasileño,Básica ciclo 3,Secundaria completa,No calificado,No calificado,105,Sí,No,No,No,Mujer,No,21,Sí,0,6,6,6,14,0,0,6,6,6,13.5,0,8.9,1.4,3.51,Graduate
Soltero,Internacional,1,Equinocultura,Diurna,Secundaria,133.1,Brasileño,Secundaria completa,Secundaria completa,Administrativo,Administrativo,100,No,No,No,Sí,Mujer,No,26,Sí,0,6,7,2,12,1,0,6,6,0,0,0,8.9,1.4,3.51,Dropout
Casado,Mayor de 23,1,Educación básica,Diurna,Grado 11 incompleto,133.1,Portugués,Primaria,Desconocido,Estudiante,Estudiante,115.5,No,No,No,Sí,Mujer,No,39,No,0,6,12,3,12.66666667,0,0,6,14,0,0,1,7.6,2.6,0.32,Dropout
Casado,Mayor de 23,1,Trabajo social (noche),Nocturna,Secundaria,133.1,Portugués,Primaria,Básica ciclo 3,No calificado,No calificado,114,No,No,No,Sí,Mujer,No,44,No,2,8,11,8,11.875,0,0,6,7,6,12.33333333,0,12.7,3.7,-1.7,Graduate
Soltero,Internacional,1,Ing. Informática,Diurna,Secundaria,130,Santotomense,Básica ciclo 2,Grado,No calificado,Profesional,137,Sí,No,No,Sí,Hombre,No,19,Sí,0,5,9,5,14,0,0,5,11,3,13.25,0,13.9,-0.3,0.79,Enrolled
